#class tools::histo::h1d
#title Angle_Distribution
#dimension 1
#axis fixed 100 0 0.2
#annotation axis_x.title  [radian]
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
821,821,821,1.08884,0.00162106
2456,2456,2456,7.5829,0.0242155
4107,4107,4107,20.8008,0.10671
5514,5514,5514,38.8355,0.27533
6920,6920,6920,62.5552,0.567772
8085,8085,8085,89.162,0.986001
9056,9056,9056,117.872,1.53718
9723,9723,9723,145.919,2.19312
10223,10223,10223,173.832,2.95921
10573,10573,10573,200.878,3.82001
10806,10806,10806,226.945,4.76987
10552,10552,10552,242.63,5.58251
10565,10565,10565,264.02,6.60133
10046,10046,10046,271.199,7.32454
9530,9530,9530,276.271,8.01218
8885,8885,8885,275.311,8.53375
8326,8326,8326,274.7,9.06595
7423,7423,7423,259.674,9.08647
6817,6817,6817,251.916,9.31156
6222,6222,6222,242.54,9.45651
5539,5539,5539,226.943,9.30014
4918,4918,4918,211.327,9.08239
4345,4345,4345,195.465,8.79467
3698,3698,3698,173.669,8.15721
3182,3182,3182,155.823,7.63173
2681,2681,2681,136.647,6.96557
2220,2220,2220,117.558,6.22591
1949,1949,1949,107.176,5.89422
1617,1617,1617,92.0652,5.24233
1349,1349,1349,79.5414,4.69047
1058,1058,1058,64.5059,3.93326
991,991,991,62.4081,3.93047
776,776,776,50.4388,3.27871
701,701,701,46.9673,3.14706
598,598,598,41.2195,2.84141
513,513,513,36.4179,2.58548
506,506,506,36.9315,2.6957
386,386,386,28.9414,2.1701
340,340,340,26.1774,2.01558
333,333,333,26.2902,2.07573
307,307,307,24.8519,2.01189
292,292,292,24.2276,2.0103
261,261,261,22.1881,1.88632
241,241,241,20.9546,1.82206
211,211,211,18.7611,1.66822
213,213,213,19.3766,1.76276
188,188,188,17.483,1.62589
205,205,205,19.4761,1.8504
173,173,173,16.7773,1.62709
159,159,159,15.7344,1.55711
146,146,146,14.7534,1.49088
126,126,126,12.9763,1.33642
140,140,140,14.6938,1.54224
112,112,112,11.9799,1.28144
116,116,116,12.6396,1.37727
98,98,98,10.878,1.20749
100,100,100,11.3061,1.27831
99,99,99,11.395,1.31161
106,106,106,12.3991,1.45039
96,96,96,11.4253,1.35981
97,97,97,11.7425,1.42153
70,70,70,8.60499,1.05782
70,70,70,8.75159,1.09417
78,78,78,9.90376,1.25752
73,73,73,9.41661,1.21472
70,70,70,9.17196,1.20181
57,57,57,7.57523,1.00675
60,60,60,8.09932,1.09333
52,52,52,7.11504,0.97355
69,69,69,9.59141,1.33328
57,57,57,8.03804,1.13353
59,59,59,8.44043,1.2075
39,39,39,5.65598,0.820272
46,46,46,6.76381,0.994561
42,42,42,6.26062,0.933237
37,37,37,5.5876,0.843829
40,40,40,6.11905,0.936082
35,35,35,5.42589,0.841159
32,32,32,5.02265,0.788354
34,34,34,5.40535,0.859363
26,26,26,4.18975,0.675164
25,25,25,4.07405,0.663926
28,28,28,4.61695,0.761301
22,22,22,3.66776,0.611484
33,33,33,5.57967,0.943427
27,27,27,4.61664,0.789392
27,27,27,4.6726,0.808646
22,22,22,3.85106,0.674128
16,16,16,2.83214,0.501318
15,15,15,2.68731,0.481445
17,17,17,3.07774,0.55721
17,17,17,3.10783,0.568157
15,15,15,2.77386,0.512954
17,17,17,3.18022,0.594936
26,26,26,4.90963,0.927104
18,18,18,3.43825,0.656759
20,20,20,3.86272,0.746037
18,18,18,3.50979,0.684374
17,17,17,3.3501,0.66019
13,13,13,2.58538,0.514176
733,733,733,292.404,197.555
