#class tools::histo::h1d,,,,
#title Angle_Distribution,,,,
#dimension 1,,,,
#axis fixed 100 0 0.2,,,,
#annotation axis_x.title  [radian],,,,
#bin_number 102,,,,
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
114,114,114,0.15201,0.000232122
345,345,345,1.07907,0.00348902
565,565,565,2.84027,0.0144681
846,846,846,5.98567,0.0426297
1026,1026,1026,9.26075,0.0839117
1275,1275,1275,14.0418,0.155064
1461,1461,1461,19.0022,0.247651
1718,1718,1718,25767,0.387015
1872,1872,1872,31.8985,0.544167
2162,2162,2162,41.1396,0.783555
2355,2355,2355,49.4669,1.03985
2498,2498,2498,57.4676,1.32291
2654,2654,2654,66.4556,1.6649
2880,2880,2880,77.7982,2.10255
3019,3019,3019,87.5273,2.53861
3151,3151,3151,97.7235,3.03181
3255,3255,3255,107432,3.54688
3512,3512,3512,122942,4.30492
3535,3535,3535,130872,4.84628
3721,3721,3721,145216,5.66844
3719,3719,3719,152518,6.25605
3851,3851,3851,165591,7.12166
3932,3932,3932,176.91,7.96093
4010,4010,4010,188469,8.85938
3936,3936,3936,192843,9.4496
4071,4071,4071,207621,10.5901
4202,4202,4202,222726,11.8069
4233,4233,4233,232828,12.8077
4090,4090,4090,233197,13.2974
4276,4276,4276,252229,14.8797
4119,4119,4119,251247,15.3267
4017,4017,4017,253117,15.9506
4153,4153,4153,269962,17.55
4128,4128,4128,276543,18.5276
4062,4062,4062,280231,19.3341
3816,3816,3816,270946,19.2391
3945,3945,3945,287943,21.0181
3859,3859,3859,289426,21.7083
3858,3858,3858,297065,22.8753
3759,3759,3759,296949,23.4593
3709,3709,3709,300486,24.3453
3486,3486,3486,289315,24.0124
3329,3329,3329,282893,24.0409
3339,3339,3339,290436,25.2641
3244,3244,3244,288719,25.6973
3195,3195,3195,290.73,26.4562
3027,3027,3027,281479,26.1756
3035,3035,3035,288315,27.3901
2901,2901,2901,281399,27297
2747,2747,2747,271939,26.9216
2615,2615,2615,264056,26.6646
2574,2574,2574,265136,27.3112
2460,2460,2460,258296,27.1215
2275,2275,2275,243419,26046
2201,2201,2201,239863,26.1408
2129,2129,2129,236291,26.2259
2096,2096,2096,236819,26.7579
1919,1919,1919,220702,25.3834
1891,1891,1891,221235,25.8837
1749,1749,1749,208145,24.7716
1633,1633,1633,197587,23.9078
1570,1570,1570,193081,23746
1507,1507,1507,188341,23.5389
1399,1399,1399,177723,22.5775
1275,1275,1275,164452,21.2119
1211,1211,1211,158661,20.7876
1194,1194,1194,158795,21.1193
1094,1094,1094,147652,19.9283
1030,1030,1030,141112,19.3329
899,899,899,124927,17.3605
873,873,873,123088,17.3551
883,883,883,126275,18.0586
760,760,760,110189,15.9761
698,698,698,102605,15.0829
677,677,677,100851,15.0238
619,619,619,93.4791,14.1171
591,591,591,90.41,13.8309
538,538,538,83.3613,12.9167
481,481,481,75.4995,11.8508
445,445,445,70755,11.2502
406,406,406,65.3632,10.5231
382,382,382,62.2555,10.1461
337,337,337,55.6052,9.17502
290,290,290,48422,8.08525
299,299,299,50524,8.53746
272,272,272,46.5064,7.95173
257,257,257,44.4565,7.69029
237,237,237,41.4651,7.25474
198,198,198,35.0444,6.20265
197,197,197,35252,6.30819
164,164,164,29678,5.37069
138,138,138,25.2608,4.62403
128,128,128,23684,4.38233
119,119,119,22.2407,4.15675
106,106,106,20.0419,3.78943
100,100,100,19.0989,3.64773
82,82,82,15.8241,3.05372
80,80,80,15.5903,3.03824
63,63,63,12401,2.44106
63,63,63,12.5332,2.49337
819,819,819,594397,1003.37
